PLAYER NAME,AVERAGE SG:OTT,AVERAGE SG:PUTTING,GREENS %,GIR% - AVG%,TOTAL SG:PUTTING,TOTAL SG:OTT,PREDICTIVE SCORE
Chris Baker,0.21100000000000002,-0.46299999999999997,70.07,2.2029952606634966,-1.8519999999999999,0.8440000000000001,0.5619952606634968
Jason Kokrak,0.64,-0.354,68.83,1.310195260663507,-1.416,2.56,0.5341952606635071
Luke List,0.409,-0.48,69.82,2.0229952606635004,-1.92,1.636,0.5119952606635005
Doug Ghim,-0.07400000000000001,-0.321,69.58,1.8501952606635035,-1.284,-0.29600000000000004,0.49219526066350344
Christiaan Bezuidenhout,-0.48,0.772,64.05,-2.1314047393364977,3.088,-1.92,0.47659526066350244
Shane Lowry,0.174,-0.36200000000000004,69.31,1.655795260663509,-1.4480000000000002,0.696,0.3817952606635087
Michael Thompson,-0.142,0.262,66.27,-0.5330047393364978,1.048,-0.568,0.3729952606635022
Louis Oosthuizen,0.034,0.141,66.67,-0.24500473933648959,0.564,0.136,0.3529952606635104
Rickie Fowler,0.23800000000000002,0.195,65.97,-0.749004739336498,0.78,0.9520000000000001,0.268995260663502
Hideki Matsuyama,0.34700000000000003,-0.617,70.25,2.3325952606635063,-2.468,1.3880000000000001,0.21159526066350637
David Hearn,-0.22,0.12,66.88,-0.09380473933649824,0.48,-0.88,0.16619526066350174
Carlos Ortiz,-0.08199999999999999,0.077,66.92,-0.06500473933649342,0.308,-0.32799999999999996,0.16099526066350658
Beau Hossler,-0.191,0.384,65.34,-1.202604739336496,1.536,-0.764,0.142395260663504
Max Homa,0.301,0.23399999999999999,65.45,-1.1234047393364888,0.9359999999999999,1.204,0.11359526066351117
Ben Martin,-0.028999999999999998,0.013999999999999999,67.13,0.08619526066350591,0.055999999999999994,-0.11599999999999999,0.11319526066350591
Brian Harman,0.094,0.249,65.63,-0.993804739336495,0.996,0.376,0.09619526066350495
Zack Sucher,0.127,-0.253,68.36,0.9717952606635043,-1.012,0.508,0.08679526066350429
Xinjun Zhang,0.115,0.07200000000000001,66.52,-0.3530047393364937,0.28800000000000003,0.46,0.04999526066350636
Robby Shelton,0.131,-0.149,67.72,0.5109952606635071,-0.596,0.524,0.04599526066350712
Emiliano Grillo,0.221,-0.934,71.95,3.5565952606635074,-3.736,0.884,0.04159526066350719
Ryan Armour,0.073,-0.34,68.85,1.3245952606634974,-1.36,0.292,0.03759526066349732
Tom Hoge,0.102,0.085,66.42,-0.42500473933649374,0.34,0.408,0.016995260663506276
Josh Teater,-0.08,-0.8,71.54,3.261395260663508,-3.2,-0.32,-0.018604739336492246
Keith Mitchell,0.428,0.281,64.81,-1.584204739336494,1.124,1.712,-0.03220473933649387
Matt Jones,0.184,0.087,66.2,-0.5834047393364923,0.348,0.736,-0.05140473933649231
Anirban Lahiri,0.05,-0.222,68.1,0.7845952606635009,-0.888,0.2,-0.05340473933649907
Andrew Putnam,-1.121,0.841,63.77,-2.3330047393364914,3.364,-4.484,-0.09000473933649156
Tyler Duncan,0.07,-0.162,67.63,0.44619526066349824,-0.648,0.28,-0.13180473933650177
Tim Wilkinson,-0.11199999999999999,-0.085,67.39,0.2733952606635093,-0.34,-0.44799999999999995,-0.17860473933649074
